"region"	"type of building"	"period of construction"	"year"	Number of dwellings
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2013"	2918
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2014"	3197
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2015"	3212
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2016"	3330
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2017"	3377
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2018"	3390
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2019"	3422
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2020"	3456
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2021"	3400
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2013"	953
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2014"	1385
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2015"	1875
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2016"	3251
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2017"	4621
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2018"	6619
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2019"	8025
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2020"	9529
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2021"	9830
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2013"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2014"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2015"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2016"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2017"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2018"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2019"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2020"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"2021-"	"2021"	1548
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2013"	595
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2014"	338
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2015"	221
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2016"	415
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2017"	252
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2018"	125
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2019"	225
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2020"	264
"SKL09 municipalities in densely populated regions (35 municipalities)"	"multi-dwelling buildings"	"data missing"	"2021"	394
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2013"	1758
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2014"	1781
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2015"	1724
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2016"	1714
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2017"	1789
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2018"	1877
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2019"	1924
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2020"	1931
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"-1930"	"2021"	1998
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2013"	485
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2014"	537
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2015"	542
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2016"	574
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2017"	570
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2018"	534
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2019"	540
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2020"	537
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1931-1940"	"2021"	527
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2013"	467
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2014"	475
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2015"	479
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2016"	466
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2017"	443
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2018"	469
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2019"	486
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2020"	492
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1941-1950"	"2021"	494
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2013"	1091
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2014"	1118
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2015"	1123
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2016"	1121
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2017"	1123
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2018"	1179
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2019"	1169
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2020"	1153
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1951-1960"	"2021"	1169
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2013"	1646
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2014"	1672
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2015"	1778
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2016"	1781
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2017"	1747
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2018"	1760
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2019"	1774
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2020"	1776
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1961-1970"	"2021"	1028
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2013"	722
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2014"	734
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2015"	768
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2016"	673
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2017"	665
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2018"	690
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2019"	700
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2020"	767
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1971-1980"	"2021"	691
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2013"	652
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2014"	577
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2015"	502
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2016"	416
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2017"	453
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2018"	448
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2019"	472
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2020"	475
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1981-1990"	"2021"	472
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2013"	507
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2014"	512
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2015"	509
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2016"	534
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2017"	569
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2018"	681
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2019"	635
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2020"	581
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"1991-2000"	"2021"	581
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2013"	379
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2014"	353
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2015"	312
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2016"	362
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2017"	359
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2018"	367
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2019"	324
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2020"	325
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2001-2010"	"2021"	322
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2013"	32
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2014"	74
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2015"	118
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2016"	102
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2017"	145
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2018"	126
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2019"	144
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2020"	168
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2011-2020"	"2021"	168
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2013"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2014"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2015"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2016"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2017"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2018"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2019"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2020"	0
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"2021-"	"2021"	3
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2013"	1221
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2014"	919
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2015"	844
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2016"	968
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2017"	935
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2018"	783
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2019"	763
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2020"	736
"SKL09 municipalities in densely populated regions (35 municipalities)"	"other buildings"	"data missing"	"2021"	773
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2013"	21043
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2014"	21150
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2015"	21129
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2016"	21276
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2017"	21383
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2018"	21411
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2019"	21425
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2020"	21512
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2021"	21530
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2013"	7625
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2014"	7639
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2015"	7642
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2016"	7663
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2017"	7677
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2018"	7664
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2019"	7625
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2020"	7631
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2021"	7605
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2013"	6838
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2014"	6834
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2015"	6799
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2016"	6788
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2017"	6820
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2018"	6827
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2019"	6768
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2020"	6789
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2021"	6824
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2013"	9769
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2014"	9791
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2015"	9781
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2016"	9780
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2017"	9816
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2018"	9787
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2019"	9788
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2020"	9797
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2021"	9830
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2013"	11439
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2014"	11416
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2015"	11425
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2016"	11425
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2017"	11408
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2018"	11436
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2019"	11361
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2020"	11350
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2021"	11372
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2013"	19880
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2014"	19876
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2015"	19910
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2016"	19885
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2017"	19855
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2018"	19861
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2019"	19841
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2020"	19759
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2021"	19745
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2013"	9830
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2014"	9860
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2015"	9764
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2016"	9974
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2017"	10073
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2018"	10005
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2019"	9861
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2020"	10094
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2021"	10105
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2013"	2977
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2014"	3011
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2015"	3173
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2016"	3143
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2017"	3067
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2018"	3117
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2019"	3264
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2020"	3175
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2021"	3162
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2013"	1494
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2014"	1494
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2015"	1503
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2016"	1750
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2017"	1735
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2018"	1746
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2019"	1754
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2020"	1768
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2021"	1776
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2013"	229
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2014"	268
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2015"	376
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2016"	778
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2017"	910
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2018"	1102
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2019"	1181
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2020"	1413
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2021"	1472
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2013"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2014"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2015"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2016"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2017"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2018"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2019"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2020"	0
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2021"	75
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2013"	950
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2014"	821
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2015"	679
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2016"	1258
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2017"	1312
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2018"	1146
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2019"	1115
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2020"	1220
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2021"	1185
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"multi-dwelling buildings"	"-1930"	"2013"	4126
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"multi-dwelling buildings"	"-1930"	"2014"	4163
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"multi-dwelling buildings"	"-1930"	"2015"	4207
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"multi-dwelling buildings"	"-1930"	"2016"	3990
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"multi-dwelling buildings"	"-1930"	"2017"	4032
